Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
1527 Veteran Ave,Los Angeles,CA,Multi-Family,"10,683",2 Star,"$3,900,000",365.07,6/26/2023,Sold,"4,300,000",,,,Xenon Investment Corporation,,Local,The Agency,Albert L Pan,,National,The Agency,Apartments,B,1986,8,0.18,7841,2,,"R3-1, City of L.A.",Westwood,Urban,Los Angeles,United States,North America,Americas,90024,,,"21,666,114.02",497.39,,,"University of California, Los Angeles","487,500",6/26/2023,7/6/2023,,Confirmed,Research Complete,,37,No,No,,,"1,308,769","1,869,680","3,178,449",2022,1075,,Good,Wood Frame,2021 Tax @ $4766.34/Unit,,2021 Tax @ $4766.34/Unit,"11022 Santa Monica Blvd, 400",Los Angeles,Rohit Mehta,3103833331,,,Developer/Owner-RGNL,CA,Santa Monica Blvd,11022,Private,90025-7513,,,,Deepak Mehta,,,,,,,,"331 Foothill Rd, 100",Alexander,Koustas,Beverly Hills,4242303700,CA,Foothill Rd,331,,,90210-3667,,6440578,,,Wood Frame,0.789205183144577,,"

Property Description: 8-UNIT APARTMENT BUILDING



",0413776,"3,900,000",,06037,,,,,,Yes,B and X,1.36,,,,,,20+ Years,,,,41.18,,,,34.051635,,"331 Foothill Rd, 100",Alexander,Koustas,Beverly Hills,4242303700,CA,Foothill Rd,331,,,90210-3667,,-118.442871,,,,,Los Angeles,73,,,0,0,0,,0,7,,8,,,,,4324-023-127,4324-023-127,,0.66,100.00%,,Los Angeles,Los Angeles,,CA,90024,,,,,365.07,,Veteran Ave,1527,,,4026469,,,,,1031 Exchange,Investment,Independent,,,,,2734 E Maureen St,West Covina,Albert Pan,6268398733,,E,Individual,CA,Maureen St,2734 ,Private,91792,,,,,,,,,,,,,"10,683",,,,,Beverly Hills/Century City/UCLA,3EL       ,,,,,"On June 26th, 2023 a 10,683 sf Class B Multi-Family Building sold for $3,900,000 at 1527 Veteran Ave in Los Angeles, CA 90024. This was an investment sale and part of a 1031 exchange. This was an all cash deal with no financing involved per the listing and buyer broker. The property is currently zoned R3-1, City of L.A.

The seller was Albert Pan with Tung Hsing Hui Inc and he was represented by Alexander Koustas with The Agency. 

The buyers were Rohit and Deepak Mehta with VSN Properties LLC and Virgil Villas LLC. They were also represented by Alexander Koustas with The Agency. 

The details of this transaction were confirmed with the listing and buyer broker, and were sourced from public record. 
",,,6188,44,,
924 S Osage Ave (Part of a 2 Property Sale),Inglewood,CA,Multi-Family,"86,855",3 Star,,,6/26/2023,Sold,,,,Osage Senior Villas,Spira Equity Partners,,Foreign,,Alliance Residential Company,,National,,Apartments,B,2002,91,1.91,83413,2,,"TOHC-CTR
",Inglewood,Urban,Los Angeles,United States,North America,Americas,90301,,,,,,0.4,,,6/26/2023,6/30/2023,,Full Value,Research Complete,Rent Restricted,21,No,No,"Air Conditioning, Business Center, Wheelchair Accessible (Rooms)",,"12,250,494","2,314,500","14,564,994",2022,788,,Good,Wood Frame,,,,"1055 Dunsmuir St, 3108",Vancouver,,6046018200,,,Investment Manager,BC,Dunsmuir St,1055,Institutional,V7X 1L4,,,,,,,,,,,,,,,,,,,,,,,,6438514,,,Wood Frame,0.485008076194894,,,0414025,,None,06037,,"7,415,000",,,Lender Name: Berkadia Commercial Mtg Llc,Yes,B and X,1.04,,,,,,20+ Years,,,,84.11,,,,33.951592,,,,,,,,,,,,,None,-118.345334,,,,,Los Angeles,,,,77,14,0,,0,90,,0,,,77(1 + 1) ,,4024-008-029,4024-008-029,,1.04,100.00%,,Inglewood,Los Angeles,,CA,,,,,,,,Osage Ave,924,,S,5679158,,,,,,Investment,Independent,,,,,"5050 S Syracuse St, 750",Denver,,3038655430,,S,Developer,CO,Syracuse St,5050,Private,80237,,,,,,,,,,,,,"86,855",,,,,Greater Inglewood,1EU       ,,,,,"This is the sale of two buildings at 924 & 930 S Osage Ave in Inglewood, CA between Alliance Residential Company and Spira Equity Partners. 924 S Osage Ave is a 91-unit multi-family property and 930 S Osage Ave in a 23,308 square foot school building. The properties sit on one parcel and sold for $11.5 million. 
CoStar was unable to reach the parties involved in this transaction. All information showing for this transaction is based on public recordings.
",,14(2 + 1) ,40456,,,
16226 Vanowen St,Van Nuys,CA,Multi-Family,"12,207",2 Star,"$4,336,500",355.25,6/23/2023,Sold,,4.57,,16226 Vanowen St,Grossman & McKay DDS,,Local,Marcus & Millichap,David Azouz,,Local,Marcus & Millichap,Apartments,C,1985,17,0.38,16683,2,,"R3-1, Los Angeles",Van Nuys,Suburban,Los Angeles,United States,North America,Americas,91406,,,"11,322,780.08",259.94,,11.9,,"255,088",6/23/2023,6/30/2023,,Confirmed,Research Complete,,38,No,No,"Air Conditioning, Laundry Facilities",,"638,963","425,973","1,064,936",2022,100,,Good,,2021 Tax @ $788.60/Unit,,2021 Tax @ $788.60/Unit,"1148 N Brand Blvd, 305",Glendale,Ronald Mckay,8182424526,,N,Medical,CA,Brand Blvd,1148,User,91202-2504,,,,,,,,,,,,"16830 Ventura Blvd, 100",Rick,Raymundo,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6436941,,,,0.365810969893571,,,0410389,"2,136,500",,06037,,"2,200,000",Cathay Bank,,,Yes,B and X,0.73,,,12.67,,,20+ Years,,,,60.00,,,,34.1936737,,"16830 Ventura Blvd, 100",Brett,Sanson,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.4867602,100.000x167.000,,,,Los Angeles,,,"198,178",17,0,0,,0,19,,0,,,17(1 + 1) ,,2233-031-045,2233-031-045,,1.56,100.00%,,Van Nuys,Los Angeles,,CA,91406,,,,,355.25,,Vanowen St,16226,,,4018750,,,,,,Investment,Independent,,,,,12441 Ventura Ct,Studio City,David Azouz,8185050303,,,Individual,CA,Ventura Ct,12441,Private,91604-2417,,,,,,,,,,,,,"12,207",,,,,Van Nuys,8FK       ,,,,,"David Azouz sold this 12,207 square foot multi family property to Ronald McKay for a confirmed price of $4,336,500. The price per square foot was $255.09. The property was 100% occupied at the time of sale. 

The property was on the market for 107 days with an original asking price of $4,550,000. 

This 17-unit building has a NOI of $198,178 for 2023, which yielded a 4.57% cap rate. 

The information was verified by sources deemed reliable.  
",,,6103,44,,
328 E Providencia Ave (Part of a 3 Property Sale),Burbank,CA,Multi-Family,"12,150",3 Star,"$5,175,000",425.93,6/21/2023,Sold,,4.48,,Multi-Property Sale,Carmeon Yadidi Brock,,Local,Marcus & Millichap,Evan Levi,,Local,Marcus & Millichap,Apartments,B,1988,11,0.21,8952,1,,"R4, Burbank",Burbank,Urban,Los Angeles,United States,North America,Americas,91502,,,"25,181,300.27",578.08,,3.0,,"470,455",6/21/2023,6/21/2023,,Confirmed,Research Complete,,35,No,No,Laundry Facilities,,"2,877,500","893,366","3,770,866",2022,1009,,Needs Improvement,Masonry,2021 Tax @ $1998.02/Unit,,2021 Tax @ $1998.02/Unit,"4554 Sherman Oaks Ave, A300",Sherman Oaks,,8186503520,,,Individual,CA,Sherman Oaks Ave,4554,Private,91403-3010,,,Bita Burbank Properties LLC,,,,,,,,,"16830 Ventura Blvd, 100",Glen,Scher,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6428235,,,Masonry,0.678651143150148,,,0403446,,,06037,,,,,,Yes,B and X,1.36,,,,,,20+ Years,,,,76.31,,,,34.1786613,,"16830 Ventura Blvd, 100",Glen,Scher,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.3018493,50.000x179.000,,,,Los Angeles,71,,,2,4,5,,0,11,,0,1,,2(1 + 1) ,,2453-030-010,2453-030-010,,0.91,,,Burbank,Los Angeles,,CA,91502,,,,,425.93,,Providencia Ave,328,,E,103505,,,,,"Bulk/Portfolio Sale,Debt Assumption",Investment,Independent,,,,,17719 Palora St,Encino,Evan Levi,8183424905,,,Individual,CA,Palora St,17719,Private,91316,"10153 1/2 Riverside Dr, 645",Toluca Lake,Enrique Family Partnership LP,,8183212011,CA,Riverside Dr,10153 1/2,,,91602-2561,,"12,150",,,,,Burbank,4EL       ,,4(3 + 2) 1(3 + 2.5) ,,,"On June 21st, 2023, the properties sold for $12,225,000.  

328 E Providencia Ave. sold for $5,175,000 with a down payment of $2,375,000. The buyer assumed $2,800,000 from Chase Bank with a 4.10% interest rate. The cap rate was 4.48% and the GRM was 14.72.

336-342 E Providencia Ave. sold for $7,050,000 with a down payment of $3,150,000 and a loan assumption of $3,900,000 from Chase Bank with a 4.10% interst rate. The cap rate was 4.93% and the GRM was 13.61. 

The information provided for this sale comparable report was verified by sources deemed reliable. 
",,4(2 + 2) ,6075,,,
342 E Providencia Ave (Part of a 3 Property Sale),Burbank,CA,Multi-Family,"6,975",2 Star,"$4,142,677",593.93,6/21/2023,Sold,,4.80,,Multi-Property Sale,Carmeon Yadidi Brock,,Local,Marcus & Millichap,Evan Levi,,Local,Marcus & Millichap,Apartments,C,1988,12,0.21,8969,2,,BUR4*,Burbank,Urban,Los Angeles,United States,North America,Americas,91502,,,"20,119,858.42",461.89,,,,"345,223",6/21/2023,6/21/2023,,Allocated,Research Complete,,35,No,No,,,"2,877,500","893,366","3,770,866",2022,590,,Needs Improvement,Masonry,,,,"4554 Sherman Oaks Ave, A300",Sherman Oaks,,8186503520,,,Individual,CA,Sherman Oaks Ave,4554,Private,91403-3010,,,Bita Burbank Properties LLC,,,,,,,,,"16830 Ventura Blvd, 100",Glen,Scher,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6428235,,,Masonry,0.388894909624302,,,0403446,,,06037,,,,,,Yes,B and X,0.78,,,,,,20+ Years,,,,76.31,,,,34.1788673,,"16830 Ventura Blvd, 100",Glen,Scher,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.3016281,,,,,Los Angeles,71,,,12,0,0,,0,12,,0,1,,12(1 + 1) ,,2453-030-048,2453-030-048,,1.72,,,Burbank,Los Angeles,,CA,91502,,,,,593.93,,Providencia Ave,342,,E,5021857,,,,,"Bulk/Portfolio Sale,Debt Assumption",Investment,Independent,,,,,17719 Palora St,Encino,Evan Levi,8183424905,,,Individual,CA,Palora St,17719,Private,91316,"10153 1/2 Riverside Dr, 645",Toluca Lake,Enrique Family Partnership LP,,8183212011,CA,Riverside Dr,10153 1/2,,,91602-2561,,"6,975",,,,,Burbank,4EL       ,,,,,"On June 21st, 2023, the properties sold for $12,225,000.  

328 E Providencia Ave. sold for $5,175,000 with a down payment of $2,375,000. The buyer assumed $2,800,000 from Chase Bank with a 4.10% interest rate. The cap rate was 4.48% and the GRM was 14.72.

336-342 E Providencia Ave. sold for $7,050,000 with a down payment of $3,150,000 and a loan assumption of $3,900,000 from Chase Bank with a 4.10% interst rate. The cap rate was 4.93% and the GRM was 13.61. 

The information provided for this sale comparable report was verified by sources deemed reliable. 
",,,3488,,,
7110 Etiwanda Ave,Reseda,CA,Multi-Family,"8,910",2 Star,"$3,000,000",336.70,6/21/2023,Sold,"3,000,000",4.81,,,AIF Investment Group LLC,,Local,Marcus & Millichap,Mashcole Property Management,,Local,Marcus & Millichap,Apartments,C,1988,11,0.24,10454,2,,R3,Reseda,Suburban,Los Angeles,United States,North America,Americas,91335-4443,,530-J5,"12,500,478.29",286.97,,2.5,,"272,727",6/22/2023,6/21/2023,,Confirmed,Research Complete,Affordable Units,35,No,No,,,"1,545,850","1,030,567","2,576,417",2022,725,,Good,Wood Frame,,,,"103 E Colorado Blvd, 465",Pasadena,Kien Tiet,6264482282,,E,Individual,CA,Colorado Blvd,103,Private,91105,,,ABC Property Rentals LLC,,,,,,,,,"880 Apollo St, 101",Steve,Bogoyevac,El Segundo,4244053900,CA,Apollo St,880,,,90245,,6428232,,,Wood Frame,0.426136363636364,,"3 Story newer contemporary apartment building! No Rent Control! Excellent rental area in Reseda. 10 units have 2 bedroom + 1 bathroom, one is 3 + 2. Fully secured building with intercom access.",0406524,,,06037,,,,,,Yes,B and X,0.85,,,10.46,,,47 Months,,,,60.00,,,,34.1996258,N 70 Ft S 145 Ft W 153 Ft Lot 753 Trct 1000 BK 19 Pg 1-34,"880 Apollo St, 101",Steve,Bogoyevac,El Segundo,4244053900,CA,Apollo St,880,,,90245,,-118.5313621,,530,J,5,Los Angeles,84,,,0,7,4,,0,11,,0,,,,,2125-036-107,2125-036-107,,3.14,100.00%,,Reseda,Los Angeles,,CA,,,,,,336.70,,Etiwanda Ave,7110,,,5439681,,,,,,Investment,Independent,,,,,"26901 Agoura Rd, 250",Calabasas Hills,Craig Senia,8188888052,,,Developer/Owner-RGNL,CA,Agoura Rd,26901,Private,91301,"4764 Park Granada, 200",Calabasas,Fordcraw LLC,,,CA,Park Granada,4764,,,91302-1545,,"8,910",,,Partial,,Central San Fernando Vly,2FK       ,,4(3 + 2) ,,,"This 11 unit apartment building that sold was 100% occupied at time of sale.  This property is comprised of seven (two-bed-one-bath), and four (three-bed-two-bath) units.  The property is located in the Reseda multi-family submarket.  The buyer and seller could not be reached for comment on this transaction.  The brokers that was involved worked with both sides of this transaction in a dual agency.","1,100.00",7(2 + 1) ,4455,,,
336 E Providencia Ave (Part of a 3 Property Sale),Burbank,CA,Multi-Family,"6,975",2 Star,"$2,907,323",416.82,6/21/2023,Sold,,4.80,,Multi-Property Sale,Carmeon Yadidi Brock,,Local,Marcus & Millichap,Evan Levi,,Local,Marcus & Millichap,Apartments,C,1988,12,0.40,17424,2,,BUR4*,Burbank,Urban,Los Angeles,United States,North America,Americas,91502,,,"7,268,307.50",166.86,,2.5,,"242,277",6/21/2023,6/21/2023,,Allocated,Research Complete,Affordable Units,35,No,No,,,"2,877,500","893,366","3,770,866",2022,,,Needs Improvement,Masonry,,,,"4554 Sherman Oaks Ave, A300",Sherman Oaks,,8186503520,,,Individual,CA,Sherman Oaks Ave,4554,Private,91403-3010,,,Bita Burbank Properties LLC,,,,,,,,,"16830 Ventura Blvd, 100",Glen,Scher,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6428235,,,Masonry,0.400309917355372,,,0403446,,,06037,,,,,,Yes,B and X,0.40,,,,,,20+ Years,,,,76.31,,,,34.1787643,,"16830 Ventura Blvd, 100",Glen,Scher,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.3017425,,,,,Los Angeles,71,,,0,0,0,,0,24,,12,1,,,,2453-030-049,2453-030-049,,1.72,,,Burbank,Los Angeles,,CA,91502,,,,,416.82,,Providencia Ave,336,,E,5013355,,,,,"Bulk/Portfolio Sale,Debt Assumption",Investment,Independent,,,,,17719 Palora St,Encino,Evan Levi,8183424905,,,Individual,CA,Palora St,17719,Private,91316,"10153 1/2 Riverside Dr, 645",Toluca Lake,Enrique Family Partnership LP,,8183212011,CA,Riverside Dr,10153 1/2,,,91602-2561,,"6,975",,,,,Burbank,4EL       ,,,,,"On June 21st, 2023, the properties sold for $12,225,000.  

328 E Providencia Ave. sold for $5,175,000 with a down payment of $2,375,000. The buyer assumed $2,800,000 from Chase Bank with a 4.10% interest rate. The cap rate was 4.48% and the GRM was 14.72.

336-342 E Providencia Ave. sold for $7,050,000 with a down payment of $3,150,000 and a loan assumption of $3,900,000 from Chase Bank with a 4.10% interst rate. The cap rate was 4.93% and the GRM was 13.61. 

The information provided for this sale comparable report was verified by sources deemed reliable. 
",,,6975,,,
5735 Woodman Ave,Van Nuys,CA,Multi-Family,"13,165",2 Star,"$4,495,000",341.44,6/20/2023,Sold,"4,495,000",4.74,,,"George Cohan | Sabet, Joseph",,Local,DMC Real Estate,Yerahmiel R. Rotshtein Separate Trust,,Local,DMC Real Estate,Apartments,C,1985,14,0.38,16596,2,,"RD1.5, Los Angeles",Valley Glen,Suburban,Los Angeles,United States,North America,Americas,91401,,562-C1,"11,798,156.18",270.85,,7.0,,"321,071",6/23/2023,6/20/2023,,Confirmed,Research Complete,,38,No,No,"Air Conditioning, Courtyard, Laundry Facilities",,"1,339,786","1,361,219","2,701,005",2022,954,,Adequate,,,,,19121 Sprague St,Tarzana,George Cohan,8183437500,,,Individual,CA,Sprague St,19121,Private,91356,16605 Sunset,Pacific Palisades,George Cohan,,3104547002,CA,Sunset,16605,,,90272,11104 Magnolia Blvd,Simon,"Asef, CCIM",North Hollywood,8187614252,CA,Magnolia Blvd,11104,,,91601,,6427148,,,,0.396592987859989,,"

Property Description: Multi Family   -  14 Units



",0410163,"2,245,000",,06037,,"2,250,000",Malaga Bank,,,Yes,B and X,0.79,,,14.05,,,49 Months,,,,49.60,,,,34.1751459,,11104 Magnolia Blvd,Simon,"Asef, CCIM",North Hollywood,8187614252,CA,Magnolia Blvd,11104,,,91601,,-118.4315399,150.000x110.000,562,C,1,Los Angeles,231,,,1,12,0,,0,14,,1,,,1(1 + 1) ,,2246-024-025,2246-024-025,,1.86,,,Van Nuys,Los Angeles,,CA,91401,,,,,341.44,,Woodman Ave,5735,,,4476423,,,,,Redevelopment Project,Investment,Independent,,,,,5516 Hermitage Ave,North Hollywood,Yerahmiel Rotshtein,8187625552,,,Trust,CA,Hermitage Ave,5516,Private,91607,5516 Hermitage Ave,North Hollywood,Yerahmiel R. Rotshtein Separate Trust,,8187625552,CA,Hermitage Ave,5516,,,91607,,"13,165",,,,1(0 + 1) ,Studio City/N Hollywood,PDU       ,,,,,"Yerahmiel Rothstein sold this 13,165 dqu ft multi family building for $4,495,000 to George Cohan and Joseph Sabet. The cap rate was given and verified while the listing was still active, due to an NDA, we were unable to reconfirm.

All information in the comparable has been verified by buyer and listing broker.",,12(2 + 2) ,6582,36,,
600 N Broadway,Los Angeles,CA,Multi-Family,"325,920",3 Star,"$97,000,000",297.62,6/16/2023,Sold,,,,Cathay Manor Apartments,"Capital Realty Group, Inc.",,National,,Chinese Committee on Aging Housing Corporation,,Local,,Apartments,B,1983,273,1.31,57064,15,,LAR5,Chinatown,CBD,Los Angeles,United States,North America,Americas,90012,,,"74,045,282.49","1,699.85",,,,"355,311",6/16/2023,6/27/2023,,Full Value,Research Complete,Rent Subsidized,40,No,No,"Air Conditioning, Laundry Facilities, Property Manager on Site, Elevator",,"37,090,734","10,226,819","47,317,553",2022,750,,Good,Steel,,,,"86 Route 59 East, 100",Spring Valley,,8453567773,,,Equity Funds,NY,Route 59 East,86,Private Equity,10977,,,,,,,,,,,,,,,,,,,,,,,,6435424,,,Steel,0.380768125389916,,,0396104,,None,06037,,,,,,Yes,B and X,5.71,,,,,,20+ Years,,,,78.39,,,,34.0589452,,,,,,,,,,,,,None,-118.2395644,,,,,Los Angeles,,,,273,0,0,,0,200,,0,2,,273(1 + 1) ,,5408-015-011,5408-015-011,,0.61,100.00%,,Los Angeles,Los Angeles,,CA,90012,,,,,297.62,,Broadway,600,,N,7561991,,,,,,Investment,Independent,,,,,600 N Broadway,Los Angeles,Donald Toy,7145333450,,N,Individual,CA,Broadway,600,Private,90012-2840,,,,,,,,,,,,,"325,920",,,,,Downtown Los Angeles,2EM       ,,,,,"On 6/16/2023, Donald Toy at Chinese Committee on Aging Housing Corporation sold the multifamily property in Los Angeles, CA to Capital Realty Group, Inc. for $97 MM or $355,311 per unit. 
The property is located at 600 N Broadway in Los Angeles, CA. and is known as the Cathay Manor Apartments. 

Capital Realty Group plans to make numerous immediate upgrades to the building, including fixing plumbing leaks and addressing hot water issues, according to a statement by the company. In the long term, the company plans to complete a full-scale restoration of all the apartments, common areas and community spaces. These improvements include renovating kitchens, bathrooms and living spaces along with installing new cabinets, countertops and appliances.

The previous owner of Cathay Manor, the nonprofit Chinese Committee on Aging Housing Corp., received condemnation from residents and elected officials in the way the property was operated.",,,21728,,,
1427 S Garfield Ave,Alhambra,CA,Multi-Family,"5,865",2 Star,"$2,251,000",383.80,6/16/2023,Sold,,,,,Andy Huang,,Local,,Robin Silver White,,National,KW Commercial,Apartments,C,1978,5,2.01,87378,2,,R,Alhambra,Suburban,Los Angeles,United States,North America,Americas,91801-5016,,,"1,122,176.75",25.76,,2.4,,"450,200",6/16/2023,6/22/2023,,Confirmed,Research Complete,Affordable Units,45,No,No,"Laundry Facilities, Dining Room",,"264,548","306,377","570,925",2022,,,,,,,,1527 N Pioneer Rd,Walnut,Andy Huang,6262276880,,N,Individual,CA,Pioneer Rd,1527,Private,91789-5344,,,,,,,,,,,,,,,,,,,,,,,,6430278,,,,0.0335668163100439,,,0396433,"1,151,000",,06037,,"1,100,000",JP Morgan Chase Bank,,Lender Name: Jpmorgan Chase Bank Na,Yes,B and X,0.07,,,,,,7 Months,,,,46.34,,,,34.0774372,,1660 Hillhurst Ave,Colin,Johnson,Los Angeles,3233001000,CA,Hillhurst Ave,1660,,,90027-5408,,-118.1234258,,,,,Los Angeles,,,,0,4,1,,0,10,,0,,,,,5357-009-021,5357-009-021,,1.71,100.00%,,Alhambra,Los Angeles,,CA,,,,,,383.80,,Garfield Ave,1427,,S,13355533,,,,,,Investment,Independent,,,,,1838 Crowley Way,Las Vegas,Robin White,7025104152,,,Individual,NV,Crowley Way,1838 ,Private,89142,,,12950 Fifth Street LLC,,,,,,,,,,"5,865",,,,,San Gabriel Valley,0FL       ,,1(3 + 2) ,,,"On June 16th, 2023, a 5,865 square foot 5 unit Class C Multi-Family Building sold for $2,251,000 at 1427 S Garfield Ave in Alhambra, CA. This was an investment sale and is the building is currently zoned R for residential use. 

The seller was Robin White with 12950 Fifth Street LLC and they were represented by Colin Johnson with KW Commercial. 

The buyers were Andy Huang and Jie Yin. 

The details of this transaction were confirmed with the listing broker and were sourced from public record. 
",,4(2 + 1) ,2933,,,
15337 Firmona Ave,Lawndale,CA,Multi-Family,"5,354",2 Star,"$1,802,500",336.66,6/16/2023,Sold,,,,,Gian & Jennifer Pazzia,,Local,Matthews Real Estate Investment Services,Albi Family Trust,,National,RE/MAX Beach Cities Realty,Apartments,C,1989,4,0.17,7441,2,,LNR2YY,Lawndale,Urban,Los Angeles,United States,North America,Americas,90260,,,"10,551,928.50",242.24,,2.8,,"450,625",6/16/2023,6/23/2023,,Confirmed,Research Complete,,34,No,No,,,"430,963","646,448","1,077,411",2022,,,,,,,,"2607 Grant Ave, B",Redondo Beach,Jennifer Pazzia,3104085865,,,Individual,CA,Grant Ave,2607,Private,90278,"2607 Grant Ave, B",Redondo Beach,Gian & Jennifer Pazzia,,3104085865,CA,Grant Ave,2607,,,90278,"2301 Rosecrans Ave, 1225",Nabil,Awada,El Segundo,8668890550,CA,Rosecrans Ave,2301,,,90245-4967,,6431601,,,,0.359763182558917,,,0396834,,,06037,,"1,171,625",Plaza Home Mortgage Inc,,,No,,0.72,,,,,,20+ Years,,,,40.00,,,,33.8915351,,402 Main St,Bill,Ruane,El Segundo,3106471635,CA,Main                      St,402,,,90245,,-118.3577993,,,,,Los Angeles,,,,4,0,0,,0,3,,0,,,4(1 + 1) ,,4079-011-014,4079-011-014,,,,,Lawndale,Los Angeles,,CA,90260,,,,,336.66,,Firmona Ave,15337,,,15904882,,,,,,Investment,Independent,,,,,,,Dennis Albi,,,,Individual,,,,Private,,,,Albi Family Trust,,,,,,,,,,"5,354",,,,,South Bay,9EW       ,,,,,"On June 16, 2023, the apartment building on .17 acres located at 15337 Firmona Ave, Lawndale, CA 90260 sold for $1,802,500. The seller was represented by Bill Ruane of RE/MAX Beach Cities Realty. The buyer was represented by Nabil Awada of Matthews Real Estate Investment Services. The buyer took out a loan of $1,171,625 to finance the acquisition.  The property was built in 1989. The zoning on the property is LNR2YY. The sale was confirmed by the listing broker, buyer broker.",,,2677,,,
